date,is_weekend,is_holiday,event,promo,prev_qty,avg7_qty,food_qty,drink_qty,daily_qty,cold_qty,beauty_qty,avg7_food_qty,avg7_drink_qty,avg7_daily_qty,avg7_cold_qty,avg7_beauty_qty,top_sku_ratio,heavy_item_ratio,cold_chain_ratio,outbound_qty
2022-01-26,0,0,0,0,356,415.7,108,88,77,59,43,119.9,96,80.3,76.4,43.1,0.192,0.176,0.172,375
2022-01-27,0,0,0,0,375,403.1,122,101,90,62,58,117.3,93.6,76.1,73.6,42.6,0.208,0.2,0.105,433
2022-01-28,0,0,0,0,433,395.3,108,84,74,71,54,115.3,91,75.4,70.1,43.4,0.202,0.196,0.202,391
2022-01-29,1,1,0,0,391,388.4,111,83,69,83,41,112.9,88,74.1,69.9,43.6,0.188,0.189,0.165,387
2022-01-30,1,0,0,0,387,385.1,110,94,65,80,25,111.7,86.1,74,68.7,44.6,0.253,0.191,0.155,374
2022-01-31,0,0,0,0,374,384.9,110,92,81,67,54,110.4,87.3,74.3,69.7,43.1,0.207,0.153,0.141,404
2022-02-01,0,0,0,1,404,388.6,147,102,96,86,62,110.4,88.9,75.4,68.7,45.1,0.193,0.177,0.157,493
2022-02-02,0,0,0,0,493,408.1,132,88,88,69,50,116.6,92,78.9,72.6,48.1,0.171,0.16,0.159,427
2022-02-03,0,0,0,0,427,415.6,136,106,106,89,45,120,92,80.4,74,49.1,0.21,0.175,0.227,482
2022-02-04,0,0,0,1,482,422.6,154,120,105,95,71,122,92.7,82.7,77.9,47.3,0.153,0.169,0.219,545
2022-02-05,1,0,0,0,545,444.6,136,111,96,106,33,128.6,97.9,87.1,81.3,49.7,0.169,0.187,0.21,482
2022-02-06,1,0,0,0,482,458.1,124,93,56,77,33,132.1,101.9,91,84.6,48.6,0.269,0.162,0.14,383
2022-02-07,0,0,1,0,383,459.4,188,130,116,116,79,134.1,101.7,89.7,84.1,49.7,0.168,0.165,0.152,629
2022-02-08,0,0,0,1,629,491.6,156,117,115,83,61,145.3,107.1,94.7,91.1,53.3,0.184,0.176,0.17,532
2022-02-09,0,0,0,0,532,497.1,154,114,96,79,54,146.6,109.3,97.4,90.7,53.1,0.192,0.142,0.145,497
2022-02-10,0,0,0,0,497,507.1,134,115,99,77,50,149.7,113,98.6,92.1,53.7,0.148,0.216,0.178,475
2022-02-11,0,0,0,0,475,506.1,142,142,108,82,71,149.4,114.3,97.6,90.4,54.4,0.159,0.187,0.154,545
2022-02-12,1,0,0,0,545,506.1,135,91,77,83,37,147.7,117.4,98,88.6,54.4,0.217,0.156,0.192,423
2022-02-13,1,0,0,0,423,497.7,128,86,71,77,43,147.6,114.6,95.3,85.3,55,0.21,0.176,0.17,405
2022-02-14,0,0,1,0,405,500.9,151,122,112,96,71,148.1,113.6,97.4,85.3,56.4,0.211,0.161,0.215,552
2022-02-15,0,0,0,0,552,489.9,130,109,90,83,47,142.9,112.4,96.9,82.4,55.3,0.22,0.164,0.156,459
2022-02-16,0,0,0,0,459,479.4,120,96,77,69,51,139.1,111.3,93.3,82.4,53.3,0.165,0.18,0.173,413
2022-02-17,0,0,0,0,413,467.4,129,97,96,65,48,134.3,108.7,90.6,81,52.9,0.193,0.18,0.214,435
2022-02-18,0,0,0,0,435,461.7,118,100,90,76,53,133.6,106.1,90.1,79.3,52.6,0.207,0.163,0.159,437
2022-02-19,1,0,0,1,437,446.3,125,94,74,75,46,130.1,100.1,87.6,78.4,50,0.185,0.179,0.222,414
2022-02-20,1,0,0,0,414,445,110,99,68,73,41,128.7,100.6,87.1,77.3,51.3,0.214,0.174,0.175,391
2022-02-21,0,0,0,1,391,443,170,103,117,104,60,126.1,102.4,86.7,76.7,51,0.228,0.146,0.212,554
2022-02-22,0,0,0,1,554,443.3,153,120,115,93,61,128.9,99.7,87.4,77.9,49.4,0.215,0.156,0.176,542
2022-02-23,0,0,0,0,542,455.1,109,94,81,76,55,132.1,101.3,91,79.3,51.4,0.228,0.179,0.179,415
2022-02-24,0,0,0,0,415,455.4,117,89,76,66,51,130.6,101,91.6,80.3,52,0.179,0.204,0.187,399
2022-02-25,0,0,0,1,399,450.3,169,127,117,98,72,128.9,99.9,88.7,80.4,52.4,0.213,0.137,0.132,583
2022-02-26,1,0,0,0,583,471.1,135,101,85,82,41,136.1,103.7,92.6,83.6,55.1,0.169,0.222,0.202,444
2022-02-27,1,0,0,0,444,475.4,115,94,62,76,41,137.6,104.7,94.1,84.6,54.4,0.197,0.157,0.192,388
2022-02-28,0,0,0,0,388,475,122,91,91,76,54,138.3,104,93.3,85,54.4,0.19,0.154,0.186,434
2022-03-01,0,0,0,0,434,457.9,120,107,92,79,55,131.4,102.3,89.6,81,53.6,0.171,0.196,0.2,453
2022-03-02,0,0,1,0,453,445.1,155,136,105,89,51,126.7,100.4,86.3,79,52.7,0.193,0.179,0.196,536
2022-03-03,0,0,0,0,536,462.4,146,102,88,71,75,133.3,106.4,89.7,80.9,52.1,0.178,0.157,0.14,482
2022-03-04,0,0,0,0,482,474.3,100,87,81,73,45,137.4,108.3,91.4,81.6,55.6,0.173,0.166,0.222,386
2022-03-05,1,0,0,0,386,446.1,118,90,72,74,38,127.6,102.6,86.3,78,51.7,0.144,0.197,0.185,392
2022-03-06,1,0,0,0,392,438.7,103,87,64,73,27,125.1,101,84.4,76.9,51.3,0.223,0.162,0.21,354
2022-03-07,0,0,0,1,354,433.9,164,126,122,96,68,123.4,100,84.7,76.4,49.3,0.236,0.164,0.103,576
2022-03-08,0,0,1,0,576,454.1,162,125,122,116,74,129.4,105,89.1,79.3,51.3,0.216,0.157,0.169,599
2022-03-09,0,0,0,0,599,475,152,127,107,63,55,135.4,107.6,93.4,84.6,54,0.19,0.158,0.095,504
2022-03-10,0,0,0,0,504,470.4,109,86,92,69,51,135,106.3,93.7,80.9,54.6,0.208,0.208,0.168,407
2022-03-11,0,0,0,0,407,459.7,109,105,91,82,55,129.7,104,94.3,80.6,51.1,0.177,0.176,0.164,442
2022-03-12,1,0,0,0,442,467.7,119,99,73,78,41,131,106.6,95.7,81.9,52.6,0.2,0.15,0.153,410
2022-03-13,1,0,0,0,410,470.3,125,101,70,71,36,131.1,107.9,95.9,82.4,53,0.224,0.178,0.221,403
2022-03-14,0,0,0,0,403,477.3,134,119,107,90,62,134.3,109.9,96.7,82.1,54.3,0.229,0.191,0.158,512
2022-03-15,0,0,0,0,512,468.1,129,97,82,63,49,130,108.9,94.6,81.3,53.4,0.203,0.18,0.153,420
2022-03-16,0,0,0,0,420,442.6,114,90,86,67,50,125.3,104.9,88.9,73.7,49.9,0.16,0.175,0.18,407
2022-03-17,0,0,0,0,407,428.7,128,102,97,63,43,119.9,99.6,85.9,74.3,49.1,0.197,0.164,0.127,433
2022-03-18,0,0,0,0,433,432.4,120,112,92,77,45,122.6,101.9,86.6,73.4,48,0.168,0.16,0.166,446
2022-03-19,1,0,1,1,446,433,209,152,84,120,43,124.1,102.9,86.7,72.7,46.6,0.205,0.175,0.167,608
2022-03-20,1,0,1,1,608,461.3,191,133,95,115,61,137,110.4,88.3,78.7,46.9,0.2,0.191,0.133,595
2022-03-21,0,0,0,0,595,488.7,161,148,118,83,65,146.4,115,91.9,85,50.4,0.17,0.199,0.193,575
2022-03-22,0,0,0,0,575,497.7,139,126,110,93,55,150.3,119.1,93.4,84,50.9,0.171,0.177,0.153,523
2022-03-23,0,0,0,0,523,512.4,129,100,92,86,56,151.7,123.3,97.4,88.3,51.7,0.131,0.172,0.138,463
2022-03-24,0,0,0,0,463,520.4,121,93,92,67,54,153.9,124.7,98.3,91,52.6,0.203,0.161,0.24,427
2022-03-25,0,0,1,0,427,519.6,147,120,103,77,59,152.9,123.4,97.6,91.6,54.1,0.214,0.213,0.183,506
2022-03-26,1,0,0,0,506,528.1,134,101,78,88,50,156.7,124.6,99.1,91.6,56.1,0.208,0.189,0.152,451
2022-03-27,1,0,0,0,451,505.7,134,95,79,86,43,146,117.3,98.3,87,57.1,0.195,0.22,0.19,437
2022-03-28,0,0,0,0,437,483.1,152,119,94,75,56,137.9,111.9,96,82.9,54.6,0.197,0.152,0.163,496
2022-03-29,0,0,0,0,496,471.9,135,100,102,80,70,136.6,107.7,92.6,81.7,53.3,0.212,0.174,0.239,487
2022-03-30,0,0,0,0,487,466.7,133,100,88,76,60,136,104,91.4,79.9,55.4,0.21,0.199,0.165,457
2022-03-31,0,0,0,0,457,465.9,120,95,90,85,60,136.6,104,90.9,78.4,56,0.202,0.17,0.203,450
2022-04-01,0,0,0,0,450,469.1,148,106,95,78,54,136.4,104.3,90.6,81,56.9,0.181,0.172,0.173,481
2022-04-02,1,0,0,1,481,465.6,136,111,76,88,45,136.6,102.3,89.4,81.1,56.1,0.16,0.176,0.137,456
2022-04-03,1,0,0,0,456,466.3,125,101,68,77,35,136.9,103.7,89.1,81.1,55.4,0.164,0.185,0.15,406
2022-04-04,0,0,0,0,406,461.9,117,93,85,71,43,135.6,104.6,87.6,79.9,54.3,0.185,0.202,0.261,409
2022-04-05,0,0,0,1,409,449.4,147,119,101,87,76,130.6,100.9,86.3,79.3,52.4,0.171,0.182,0.175,530
2022-04-06,0,0,0,0,530,455.6,119,104,93,73,42,132.3,103.6,86.1,80.3,53.3,0.209,0.176,0.212,431
2022-04-07,0,0,0,0,431,451.9,128,108,89,62,48,130.3,104.1,86.9,79.9,50.7,0.161,0.161,0.217,435
2022-04-08,0,0,0,1,435,449.7,135,106,89,95,57,131.4,106,86.7,76.6,49,0.148,0.195,0.17,482
2022-04-09,1,0,0,0,482,449.9,124,95,81,79,42,129.6,106,85.9,79,49.4,0.161,0.169,0.121,421
2022-04-10,1,0,0,0,421,444.9,123,88,61,90,38,127.9,103.7,86.6,77.7,49,0.219,0.151,0.137,400
2022-04-11,0,0,0,1,400,444,157,112,118,80,80,127.6,101.9,85.6,79.6,49.4,0.197,0.194,0.191,547
2022-04-12,0,0,0,0,547,463.7,113,101,84,64,50,133.3,104.6,90.3,80.9,54.7,0.227,0.176,0.197,412
2022-04-13,0,0,0,1,412,446.9,135,106,78,66,59,128.4,102,87.9,77.6,51,0.246,0.164,0.211,444
2022-04-14,0,0,0,0,444,448.7,132,116,101,71,53,130.7,102.3,85.7,76.6,53.4,0.22,0.146,0.159,473
2022-04-15,0,0,0,0,473,454.1,133,105,100,85,50,131.3,103.4,87.4,77.9,54.1,0.158,0.197,0.167,473
2022-04-16,1,0,0,0,473,452.9,117,91,74,97,47,131,103.3,89,76.4,53.1,0.232,0.17,0.239,426
2022-04-17,1,0,0,1,426,453.6,108,84,71,81,34,130,102.7,88,79,53.9,0.181,0.161,0.203,378
2022-04-18,0,0,0,0,378,450.4,121,93,96,70,50,127.9,102.1,89.4,77.7,53.3,0.261,0.165,0.185,430
2022-04-19,0,0,0,0,430,433.7,155,126,91,87,61,122.7,99.4,86.3,76.3,49,0.201,0.162,0.18,520
2022-04-20,0,0,0,0,520,449.1,108,90,85,73,55,128.7,103,87.3,79.6,50.6,0.183,0.128,0.158,411
2022-04-21,0,0,0,0,411,444.4,104,99,80,72,51,124.9,100.7,88.3,80.6,50,0.186,0.175,0.168,406
2022-04-22,0,0,0,0,406,434.9,140,98,100,72,60,120.9,98.3,85.3,80.7,49.7,0.259,0.189,0.169,470
2022-04-23,1,0,0,0,470,434.4,107,76,74,83,45,121.9,97.3,85.3,78.9,51.1,0.198,0.176,0.216,385
2022-04-24,1,0,0,0,385,428.6,110,100,58,79,40,120.4,95.1,85.3,76.9,50.9,0.191,0.151,0.225,387
2022-04-25,0,0,0,1,387,429.9,142,123,107,82,81,120.7,97.4,83.4,76.6,51.7,0.144,0.198,0.149,535
2022-04-26,0,0,0,0,535,444.9,146,119,106,90,63,123.7,101.7,85,78.3,56.1,0.196,0.168,0.128,524
2022-04-27,0,0,1,0,524,445.4,146,125,114,104,68,122.4,100.7,87.1,78.7,56.4,0.185,0.165,0.159,557
2022-04-28,0,0,0,0,557,466.3,141,117,86,78,67,127.9,105.7,91.3,83.1,58.3,0.229,0.164,0.183,489
2022-04-29,0,0,0,0,489,478.1,122,107,82,80,49,133.1,108.3,92.1,84,60.6,0.148,0.196,0.134,440
2022-04-30,1,0,0,0,440,473.9,126,104,73,84,49,130.6,109.6,89.6,85.1,59,0.243,0.176,0.198,436
2022-05-01,1,0,0,0,436,481.1,127,95,60,83,43,133.3,113.6,89.4,85.3,59.6,0.215,0.186,0.174,408
2022-05-02,0,0,0,0,408,484.1,110,96,73,70,49,135.7,112.9,89.7,85.9,60,0.233,0.171,0.208,398
2022-05-03,0,0,0,0,398,464.6,133,100,91,84,53,131.1,109,84.9,84.1,55.4,0.23,0.186,0.209,461
2022-05-04,0,0,0,0,461,455.6,137,103,94,72,49,129.3,106.3,82.7,83.3,54,0.207,0.159,0.179,455
2022-05-05,0,0,0,1,455,441,149,110,106,67,56,128,103.1,79.9,78.7,51.3,0.217,0.152,0.177,488
2022-05-06,0,0,0,0,488,440.9,128,97,96,77,55,129.1,102.1,82.7,77.1,49.7,0.237,0.155,0.157,453
2022-05-07,1,0,1,0,453,442.7,164,126,84,114,55,130,100.7,84.7,76.7,50.6,0.161,0.165,0.152,543
2022-05-08,1,0,0,0,543,458,138,104,76,94,36,135.4,103.9,86.3,81,51.4,0.169,0.173,0.108,448
2022-05-09,0,0,1,0,448,463.7,171,129,107,112,67,137,105.1,88.6,82.6,50.4,0.207,0.174,0.131,586
2022-05-10,0,0,0,0,586,490.6,145,121,113,90,54,145.7,109.9,93.4,88.6,53,0.216,0.142,0.238,523
2022-05-11,0,0,1,0,523,499.4,197,169,132,111,62,147.4,112.9,96.6,89.4,53.1,0.242,0.169,0.179,671
2022-05-12,0,0,0,0,671,530.3,155,117,108,89,64,156,122.3,102,95,55,0.212,0.203,0.199,533
2022-05-13,0,0,0,0,533,536.7,141,109,105,84,69,156.9,123.3,102.3,98.1,56.1,0.183,0.174,0.129,508
2022-05-14,1,0,0,1,508,544.6,148,115,77,98,42,158.7,125,103.6,99.1,58.1,0.217,0.139,0.142,480
2022-05-15,1,0,1,0,480,535.6,190,127,99,115,44,156.4,123.4,102.6,96.9,56.3,0.189,0.203,0.226,575
2022-05-16,0,0,0,0,575,553.7,155,130,103,85,86,163.9,126.7,105.9,99.9,57.4,0.248,0.155,0.158,559
2022-05-17,0,0,0,0,559,549.9,164,121,101,81,81,161.6,126.9,105.3,96,60.1,0.211,0.208,0.166,548
2022-05-18,0,0,0,0,548,553.4,147,115,97,92,54,164.3,126.9,103.6,94.7,64,0.216,0.182,0.194,505
2022-05-19,0,0,0,1,505,529.7,149,114,106,89,62,157.1,119.1,98.6,92,62.9,0.261,0.193,0.175,520
2022-05-20,0,0,0,0,520,527.9,143,122,93,98,70,156.3,118.7,98.3,92,62.6,0.18,0.154,0.166,526
2022-05-21,1,0,0,0,526,530.4,139,102,78,96,35,156.6,120.6,96.6,94,62.7,0.182,0.174,0.175,450
2022-05-22,1,0,0,0,450,526.1,146,109,80,103,40,155.3,118.7,96.7,93.7,61.7,0.244,0.202,0.188,478
2022-05-23,0,0,0,0,478,512.3,129,126,102,76,64,149,116.1,94,92,61.1,0.193,0.161,0.185,497
2022-05-24,0,0,0,1,497,503.4,160,129,120,75,60,145.3,115.6,93.9,90.7,58,0.222,0.178,0.161,544
2022-05-25,0,0,0,0,544,502.9,120,100,90,72,47,144.7,116.7,96.6,89.9,55,0.181,0.178,0.147,429
2022-05-26,0,0,0,0,429,492,114,87,86,69,47,140.9,114.6,95.6,87,54,0.212,0.185,0.176,403
2022-05-27,0,0,0,0,403,475.3,140,105,89,85,60,135.9,110.7,92.7,84.1,51.9,0.207,0.183,0.259,479
2022-05-28,1,0,0,0,479,468.6,129,100,80,88,33,135.4,108.3,92.1,82.3,50.4,0.191,0.198,0.154,430
2022-05-29,1,0,0,0,430,465.7,114,97,70,76,42,134,108,92.4,81.1,50.1,0.189,0.145,0.176,399
2022-05-30,0,0,0,0,399,454.4,137,120,105,89,63,129.4,106.3,91,77.3,50.4,0.163,0.208,0.196,514
2022-05-31,0,0,1,0,514,456.9,180,139,139,105,75,130.6,105.4,91.4,79.1,50.3,0.187,0.181,0.2,638
2022-06-01,0,0,0,0,638,470.3,129,124,96,93,51,133.4,106.9,94.1,83.4,52.4,0.238,0.182,0.191,493
2022-06-02,0,0,0,0,493,479.4,137,104,101,73,48,134.7,110.3,95,86.4,53,0.205,0.181,0.212,463
2022-06-03,0,0,0,0,463,488,146,130,94,85,55,138,112.7,97.1,87,53.1,0.183,0.182,0.148,510
2022-06-04,1,0,0,0,510,492.4,123,109,78,96,51,138.9,116.3,97.9,87,52.4,0.218,0.161,0.101,457
2022-06-05,1,0,0,0,457,496.3,123,102,77,86,49,138,117.6,97.6,88.1,55,0.164,0.158,0.189,437
2022-06-06,0,0,0,0,437,501.7,146,123,101,61,62,139.3,118.3,98.6,89.6,56,0.177,0.193,0.185,493
2022-06-07,0,0,0,0,493,498.7,139,115,83,59,52,140.6,118.7,98,85.6,55.9,0.188,0.162,0.164,448
2022-06-08,0,0,0,0,448,471.6,129,113,93,69,60,134.7,115.3,90,79,52.6,0.182,0.167,0.229,464
2022-06-09,0,0,0,0,464,467.4,110,85,82,61,46,134.7,113.7,89.6,75.6,53.9,0.198,0.17,0.147,384
2022-06-10,0,0,0,0,384,456.1,130,98,83,83,51,130.9,111,86.9,73.9,53.6,0.199,0.143,0.164,445
2022-06-11,1,0,0,0,445,446.9,124,99,66,79,33,128.6,106.4,85.3,73.6,53,0.194,0.197,0.156,401
2022-06-12,1,0,0,0,401,438.9,102,80,66,75,35,128.7,105,83.6,71.1,50.4,0.171,0.152,0.151,358
2022-06-13,0,0,0,0,358,427.6,139,121,93,92,57,125.7,101.9,82,69.6,48.4,0.143,0.165,0.174,502
2022-06-14,0,0,0,0,502,428.9,135,109,97,90,37,124.7,101.6,80.9,74,47.7,0.211,0.172,0.181,468
2022-06-15,0,0,0,0,468,431.7,128,121,87,76,42,124.1,100.7,82.9,78.4,45.6,0.183,0.176,0.182,454
2022-06-16,0,0,0,0,454,430.3,121,93,95,84,53,124,101.9,82,79.4,43,0.182,0.163,0.22,446
2022-06-17,0,0,0,0,446,439.1,132,103,79,78,48,125.6,103,83.9,82.7,44,0.202,0.17,0.15,440
2022-06-18,1,0,0,0,440,438.4,118,94,58,83,30,125.9,103.7,83.3,82,43.6,0.175,0.203,0.166,383
2022-06-19,1,0,0,0,383,435.9,120,96,79,93,36,125,103,82.1,82.6,43.1,0.166,0.16,0.203,424
2022-06-20,0,0,1,0,424,445.3,157,125,112,102,72,127.6,105.3,84,85.1,43.3,0.181,0.161,0.155,568
2022-06-21,0,0,0,0,568,454.7,147,126,100,83,53,130.1,105.9,86.7,86.6,45.4,0.167,0.186,0.081,509
2022-06-22,0,0,0,1,509,460.6,180,142,130,101,61,131.9,108.3,87.1,85.6,47.7,0.211,0.17,0.234,614
2022-06-23,0,0,0,0,614,483.4,134,116,82,89,65,139.3,111.3,93.3,89.1,50.4,0.164,0.179,0.216,486
2022-06-24,0,0,0,0,486,489.1,114,91,78,68,30,141.1,114.6,91.4,89.9,52.1,0.202,0.197,0.143,381
2022-06-25,1,0,0,0,381,480.7,124,92,72,84,37,138.6,112.9,91.3,88.4,49.6,0.204,0.168,0.215,409
2022-06-26,1,0,0,0,409,484.4,115,87,72,83,37,139.4,112.6,93.3,88.6,50.6,0.138,0.164,0.208,394
2022-06-27,0,0,1,0,394,480.1,166,130,114,101,83,138.7,111.3,92.3,87.1,50.7,0.163,0.137,0.18,594
2022-06-28,0,0,0,0,594,483.9,136,114,95,84,73,140,112,92.6,87,52.3,0.164,0.163,0.142,502
2022-06-29,0,0,0,0,502,482.9,132,106,73,72,58,138.4,110.3,91.9,87.1,55.1,0.213,0.206,0.162,441
2022-06-30,0,0,0,0,441,458.1,107,95,88,87,54,131.6,105.1,83.7,83,54.7,0.205,0.171,0.224,431
2022-07-01,0,0,0,1,431,450.3,147,118,99,89,49,127.7,102.1,84.6,82.7,53.1,0.192,0.195,0.147,502
2022-07-02,1,0,0,0,502,467.6,126,91,71,86,37,132.4,106,87.6,85.7,55.9,0.212,0.191,0.164,411
2022-07-03,1,0,0,1,411,467.9,133,99,84,91,36,132.7,105.9,87.4,86,55.9,0.216,0.173,0.178,443
2022-07-04,0,0,0,0,443,474.9,124,106,96,83,66,135.3,107.6,89.1,87.1,55.7,0.157,0.189,0.19,475
2022-07-05,0,0,0,0,475,457.9,143,106,98,87,51,129.3,104.1,86.6,84.6,53.3,0.159,0.163,0.119,485
2022-07-06,0,0,0,0,485,455.4,151,112,101,79,68,130.3,103,87,85,50.1,0.193,0.205,0.111,511
2022-07-07,0,0,0,1,511,465.4,120,110,114,82,46,133,103.9,91,86,51.6,0.229,0.177,0.164,472
2022-07-08,0,0,0,0,472,471.3,148,125,108,86,58,134.9,106,94.7,85.3,50.4,0.216,0.163,0.121,525
2022-07-09,1,0,0,0,525,474.6,122,91,67,82,41,135,107,96,84.9,51.7,0.214,0.199,0.195,403
2022-07-10,1,0,0,0,403,473.4,101,78,58,75,31,134.4,107,95.4,84.3,52.3,0.169,0.168,0.147,343
2022-07-11,0,0,0,0,343,459.1,139,113,102,81,63,129.9,104,91.7,82,51.6,0.204,0.162,0.164,498
2022-07-12,0,0,0,0,498,462.4,112,90,87,63,52,132,105,92.6,81.7,51.1,0.155,0.145,0.192,404
2022-07-13,0,0,0,0,404,450.9,129,93,86,74,49,127.6,102.7,91,78.3,51.3,0.182,0.172,0.222,431
2022-07-14,0,0,0,0,431,439.4,123,96,71,65,46,124.4,100,88.9,77.6,48.6,0.189,0.184,0.125,401
2022-07-15,0,0,0,0,401,429.3,123,110,79,71,47,124.9,98,82.7,75.1,48.6,0.185,0.208,0.229,430
2022-07-16,1,0,0,0,430,415.7,125,87,81,90,36,121.3,95.9,78.6,73,47,0.187,0.164,0.228,419
2022-07-17,1,0,0,0,419,418,125,91,69,96,33,121.7,95.3,80.6,74.1,46.3,0.152,0.173,0.168,414
2022-07-18,0,0,0,1,414,428.1,132,111,102,79,46,125.1,97.1,82.1,77.1,46.6,0.142,0.173,0.174,470
2022-07-19,0,0,0,0,470,424.1,131,103,96,72,45,124.1,96.9,82.1,76.9,44.1,0.203,0.166,0.145,447
2022-07-20,0,0,0,0,447,430.3,156,123,114,79,55,126.9,98.7,83.4,78.1,43.1,0.205,0.154,0.162,527
2022-07-21,0,0,0,0,527,444,128,101,91,80,45,130.7,103,87.4,78.9,44,0.173,0.205,0.11,445
2022-07-22,0,0,0,0,445,450.3,138,125,99,80,69,131.4,103.7,90.3,81,43.9,0.159,0.172,0.084,511
2022-07-23,1,0,0,1,511,461.9,149,119,100,111,46,133.6,105.9,93.1,82.3,47,0.203,0.192,0.25,525
2022-07-24,1,0,0,0,525,477,151,113,90,97,42,137,110.4,95.9,85.3,48.4,0.184,0.186,0.133,493
2022-07-25,0,0,0,0,493,488.3,125,110,90,82,52,140.7,113.6,98.9,85.4,49.7,0.176,0.137,0.194,459
2022-07-26,0,0,0,0,459,486.7,114,104,93,81,59,139.7,113.4,97.1,85.9,50.6,0.206,0.183,0.134,451
2022-07-27,0,0,0,1,451,487.3,141,117,105,91,64,137.3,113.6,96.7,87.1,52.6,0.232,0.164,0.174,518
2022-07-28,0,0,1,0,518,486,142,123,110,94,64,135.1,112.7,95.4,88.9,53.9,0.194,0.179,0.125,533
2022-07-29,0,0,0,0,533,498.6,127,110,83,68,50,137.1,115.9,98.1,90.9,56.6,0.182,0.16,0.165,438
2022-07-30,1,0,0,0,438,488.1,118,94,69,78,48,135.6,113.7,95.9,89.1,53.9,0.166,0.194,0.156,407
2022-07-31,1,0,0,0,407,471.3,125,102,67,81,39,131.1,110.1,91.4,84.4,54.1,0.18,0.156,0.191,414
2022-08-01,0,0,0,0,414,460,137,98,91,75,76,127.4,108.6,88.1,82.1,53.7,0.188,0.158,0.17,477
2022-08-02,0,0,0,0,477,462.6,128,99,88,73,58,129.1,106.9,88.3,81.1,57.1,0.198,0.168,0.187,446
2022-08-03,0,0,0,0,446,461.9,112,98,86,68,46,131.1,106.1,87.6,80,57,0.19,0.203,0.172,410
2022-08-04,0,0,0,0,410,446.4,114,93,79,64,57,127,103.4,84.9,76.7,54.4,0.176,0.19,0.144,407
2022-08-05,0,0,0,0,407,428.4,99,86,79,63,34,123,99.1,80.4,72.4,53.4,0.166,0.174,0.203,361
